id_aluno,nome,curso,periodo,cr,faltas,situacao_financeira,reprovacoes,idade,evadiu
1,Fábio Freitas,Ciência da Computação,5.0,4.2,18.0,dificuldade,6.0,21.0,1
2,Fernanda Moura,Administração,8.0,6.1,3.0,intermediaria,0.0,20.0,0
3,Caio Duarte,Direito,1.0,6.9,6.0,intermediaria,1.0,23.0,0
4,Marina Siqueira,Direito,5.0,5.2,10.0,estavel,0.0,25.0,0
5,Valentina Nunes,Direito,7.0,8.5,3.0,intermediaria,0.0,,0
6,Marina Leite,Administração,1.0,6.5,5.0,intermediaria,0.0,31.0,0
7,Nara Pires,Ciência da Computação,4.0,,4.0,intermediaria,2.0,21.0,0
8,Ana Amaral,Direito,8.0,7.0,11.0,estavel,1.0,21.0,0
9,Thiago Andrade,Ciência da Computação,4.0,6.1,4.0,estavel,0.0,29.0,0
10,Patricia Neto,Medicina,,6.3,6.0,estavel,0.0,21.0,0
11,Igor Andrade,Medicina,5.0,4.8,12.0,intermediaria,2.0,26.0,1
12,Renata Campos,Direito,1.0,6.6,0.0,intermediaria,0.0,25.0,0
13,Isabella Nunes,Ciência da Computação,7.0,7.2,12.0,intermediaria,0.0,23.0,0
14,Wesley Dias,Engenharia Civil,2.0,3.1,5.0,intermediaria,0.0,22.0,1
15,Nicolas Silva,Administração,2.0,8.1,7.0,estavel,0.0,26.0,0
16,Marina Machado,Engenharia Civil,8.0,7.4,4.0,estavel,1.0,29.0,0
17,Patricia Torres,Engenharia Civil,4.0,2.3,,dificuldade,2.0,31.0,1
18,Nathan Ferreira,Direito,7.0,6.6,7.0,estavel,0.0,23.0,0
19,Luana Magalhães,Direito,8.0,6.0,7.0,intermediaria,3.0,25.0,0
20,Carlos Neto,Medicina,6.0,6.8,10.0,dificuldade,2.0,22.0,0
21,Pedro Cardoso,Engenharia Civil,2.0,6.6,1.0,intermediaria,0.0,23.0,0
22,Nicolas Ramos,Ciência da Computação,1.0,4.8,2.0,intermediaria,4.0,,1
23,Guilherme Barbosa,Engenharia Civil,5.0,5.8,11.0,estavel,0.0,29.0,0
24,Vanessa Magalhães,Engenharia Civil,7.0,3.4,31.0,intermediaria,4.0,22.0,1
25,Vanessa Ramos,Ciência da Computação,3.0,6.4,5.0,intermediaria,0.0,21.0,0
26,Camila Borges,Medicina,7.0,6.0,7.0,intermediaria,1.0,22.0,0
27,Ximena Correia,Engenharia Civil,1.0,6.4,2.0,intermediaria,1.0,21.0,0
28,Ursula Gonçalves,Administração,1.0,5.4,18.0,intermediaria,3.0,25.0,1
